gender,created,retweet_count,text
male,12/5/13 1:48,0,Robbie E Responds To Critics After Win Against Eddie Edwards In The #WorldTitleSeries https://t.co/NSybBmVjKZ
male,10/1/12 13:51,0,It felt like they were my friends and I was living the story with them۝ https://t.co/arngE0YHNO #retired #IAN1 https://t.co/CIzCANPQFz
male,11/28/14 11:30,1,i absolutely adore when louis starts the songs it hits me hard but it feels good
male,6/11/09 22:39,0,Hi @JordanSpieth - Looking at the url - do you use @IFTTT?!  Don't typically see an advanced user on the @PGATOUR! https://t.co/H68ou5PE9L
male,12/3/12 21:54,0,"Gala Bingo clubs bought for 241m: The UK's largest High Street bingo operator, Gala, is being taken over by_ https://t.co/HzeeykJUd3"
male,10/18/09 11:41,0,@coolyazzy94 Ditto - I'm still learning the favourites and retweet stuff - least it sucks less than Facebook haha :P
male,7/20/15 12:01,0,@CaribBros @JstSaleem I do but I don't understand how to get to the server to get it
male,1/11/13 1:18,0,"YALL LMFAOO RIGHT WHEN THE CHORUS CAME ON, A TEAR ROLLED DOWN HIS FACE https://t.co/aYuQDPtvsE"
male,4/21/11 12:21,0,James Bond premier night at the @Everymancinema in Oxted with @SidiEdey. Let's hope it lives up to expectation! #SPECTRE
male,3/24/14 2:57,0,As opposed to Pump where it's like HI HOPE YOU LIKE DOING JUMPS WHERE YOU SPREAD YOUR FEET ACROSS THE ENTIRE STAGE
male,12/5/12 6:18,0,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E
male,11/26/11 15:08,0,And got more yards AND points than the Jets gave up all season. https://t.co/gdfkaOxcDD
male,5/20/11 1:59,0,Did Alot Up In The Past Ion Wont Back
male,5/17/09 21:05,0,@TheRiddler109 @CNN I mean it's not like Mainstream new media is supposed to feed you the fact nowadays...
male,6/17/09 18:09,0,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H
male,12/13/14 9:45,0,"@onedirection Artist of the Year #AMAs

HO FAME"
